出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1100717,11006,1101,台泥,水泥工業," $8,480,821.00 ",9832764,9288320,-13.74936895,-8.69370349,50023365,48800852,2.505105853,"以上營收不包含停業部門營收:110年6月1,162,600仟元暨109年6月672,992仟元;110年1-6月6,151,329仟元暨109年1-6月3,638,858仟元"
1100717,11006,1102,亞泥,水泥工業," $6,895,504.00 ",7688883,6752208,-10.31852091,2.122209505,40308358,33825643,19.16509022,-
1100717,11006,1103,嘉泥,水泥工業," $168,756.00 ",196403,166768,-14.07666889,1.192075218,1094913,992319,10.33881242,-
1100717,11006,1104,環泥,水泥工業," $407,130.00 ",533814,453562,-23.73186166,-10.23718918,2905011,2591631,12.09199921,-
1100717,11006,1108,幸福,水泥工業," $325,660.00 ",357039,360616,-8.788675747,-9.693413492,2074215,2226696,-6.84785889,-
1100717,11006,1109,信大,水泥工業," $492,001.00 ",627354,611254,-21.57521909,-19.50956558,3697732,3255948,13.56852136,-
1100717,11006,1110,東泥,水泥工業," $262,145.00 ",141730,130369,84.96084104,101.0792443,935119,770491,21.36663504,主要係因子公司東南資產開發股份有限公司認列收入
1100717,11006,1201,味全,食品工業," $1,717,230.00 ",1659960,1584018,3.450083135,8.409752919,9314003,8589703,8.432189099,-
1100717,11006,1203,味王,食品工業," $492,972.00 ",488269,519138,0.963198565,-5.040278308,2940206,3051105,-3.634715947,-
1100717,11006,1210,大成,食品工業," $8,392,356.00 ",8029443,6450520,4.519778022,30.10355754,47307120,36947103,28.04013348,-
1100717,11006,1213,大飲,食品工業," $36,210.00 ",35416,35095,2.241924554,3.177090754,205523,166497,23.43946137,-
1100717,11006,1215,卜蜂,食品工業," $2,024,955.00 ",2086575,1772694,-2.953164875,14.23037479,11828215,10669093,10.86429746,-
1100717,11006,1216,統一,食品工業," $39,253,261.00 ",39759158,38616245,-1.272403706,1.649606273,232797132,218736545,6.428092297,-
1100717,11006,1217,愛之味,食品工業," $464,795.00 ",439985,415560,5.638828596,11.84786794,2274234,2150473,5.755059468,-
1100717,11006,1218,泰山,食品工業," $794,155.00 ",830360,734201,-4.36015704,8.165883729,4709527,3924694,19.99730425,-
1100717,11006,1219,福壽,食品工業," $1,024,656.00 ",1176668,987280,-12.91885222,3.785754801,7159772,5917265,20.99799485,-
1100717,11006,1220,台榮,食品工業," $272,149.00 ",254687,222507,6.856258859,22.31030934,1497626,1243188,20.46657465,-
1100717,11006,1225,福懋油,食品工業," $1,034,300.00 ",1114265,792623,-7.176479563,30.49078818,6264703,4979882,25.8002298,-
1100717,11006,1227,佳格,食品工業," $2,701,602.00 ",2373213,2392058,13.83731675,12.9404889,15676507,14624069,7.196615388,-
1100717,11006,1229,聯華,食品工業," $1,662,605.00 ",845247,1275443,96.7004911,30.35510015,5457591,4756896,14.7300887,-
1100717,11006,1231,聯華食,食品工業," $738,135.00 ",723277,684343,2.054261369,7.860385801,4530760,4103744,10.40552237,-
1100717,11006,1232,大統益,食品工業," $1,358,757.00 ",1642167,1424986,-17.25829346,-4.647694784,9760472,8025240,21.62218202,-
1100717,11006,1233,天仁,食品工業," $107,176.00 ",134815,141988,-20.50142788,-24.51756486,865812,903834,-4.206745929,-
1100717,11006,1234,黑松,食品工業," $748,522.00 ",731347,770065,2.348406434,-2.79755605,4381849,4072986,7.583207995,-
1100717,11006,1235,興泰,食品工業," $1,630.00 ",1066,3033,52.90806754,-46.25783053,7629,11053,-30.97801502,-
1100717,11006,1236,宏亞,食品工業," $83,920.00 ",98044,80724,-14.405777,3.959169516,822732,687064,19.74604986,-
1100717,11006,1256,鮮活果汁-KY,食品工業," $499,954.00 ",409708,362789,22.02690697,37.80847821,2311478,1274955,81.29879094,109年上半年受新冠疫情影響，出貨較少
1100717,11006,1301,台塑,塑膠工業," $22,938,082.00 ",24347789,14776562,-5.789876855,55.23287487,132254846,85003282,55.58792895,去年6月受疫情影響，石化產品價格大跌，今年因疫情趨緩且供給減少，推升行情，因此今年6月合併營收較去年同期增加55.23%。
1100717,11006,1303,南亞,塑膠工業," $34,598,733.00 ",34484715,20794995,0.330633442,66.38009771,193698672,126182089,53.50726362,去年新冠肺炎疫情嚴重，各國多處於封鎖狀態，景氣低迷，而今年營運良好，相較之下營收大幅增加。
1100717,11006,1304,台聚,塑膠工業," $6,053,540.00 ",5665595,3952131,6.847383196,53.17154214,33943334,22214911,52.79527341,因市場環境影響銷售量價皆優於去年同期，故營收增加。
